type_a,type_b,known,DKD_n,DKD_enr,DKD_avo,DKD_dom,DKD_repro,Ctrl_n,Ctrl_enr,Ctrl_avo,Ctrl_dom,IgAN,MN,C3GN,AA,DKD_null_repro,candidate,offtarget
Plasma,TAL,False,8,1,3,-1.0,0.38,3,0,1,-1.0,-1.0,-1.0,0.0,-1.0,0.0,False,True
Plasma,iTAL,False,8,3,1,1.0,0.38,3,0,0,0.0,0.0,-1.0,-1.0,0.0,0.0,False,True
Plasma,DCT,False,8,0,5,-1.0,0.62,3,0,2,-1.0,0.0,-1.0,-1.0,0.0,0.0,False,True
Plasma,CNT,False,8,0,8,-1.0,1.0,3,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,True,True
Plasma,PC,False,8,0,7,-1.0,0.88,3,0,0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
Plasma,IC A,False,8,0,8,-1.0,1.0,3,0,1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,True,True
Plasma,Podo,False,8,0,2,-1.0,0.25,3,1,0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,True
Plasma,MC,False,8,0,6,-1.0,0.75,3,0,0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
Plasma,PEC,False,8,0,3,-1.0,0.38,3,2,0,1.0,-1.0,-1.0,0.0,-1.0,0.0,False,True
Plasma,EC_glom,False,8,0,2,-1.0,0.25,3,0,0,0.0,0.0,-1.0,-1.0,0.0,0.12,False,True
Plasma,Fibroblast,False,8,5,0,1.0,0.62,3,3,0,1.0,1.0,1.0,1.0,0.0,0.12,False,True
Plasma,VSMC,False,8,1,1,0.0,0.12,3,1,0,1.0,1.0,0.0,0.0,1.0,0.25,False,True
Plasma,EC_Peritub,False,8,0,3,-1.0,0.38,3,0,0,0.0,0.0,-1.0,-1.0,0.0,0.0,False,True
Plasma,EC_DVR,False,8,0,2,-1.0,0.25,3,2,0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
Myeloid,CD4 T,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,1.0,1.0,1.0,0.12,False,True
Myeloid,CD8 T,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,1.0,1.0,1.0,0.0,False,True
Myeloid,PT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
Myeloid,iPT,True,8,2,4,-1.0,0.5,3,3,0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,False
Myeloid,TAL,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
Myeloid,iTAL,True,8,0,8,-1.0,1.0,3,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,True,False
Myeloid,DCT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
Myeloid,CNT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
Myeloid,PC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
Myeloid,IC A,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
Myeloid,Podo,False,8,0,5,-1.0,0.62,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
Myeloid,MC,False,8,0,6,-1.0,0.75,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
Myeloid,PEC,False,8,1,5,-1.0,0.62,3,2,0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
Myeloid,EC_glom,False,8,0,6,-1.0,0.75,3,2,0,1.0,-1.0,-1.0,-1.0,-1.0,0.12,True,True
Myeloid,Fibroblast,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,1.0,1.0,1.0,0.0,False,True
Myeloid,VSMC,False,8,3,0,1.0,0.38,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
Myeloid,EC_Peritub,False,8,1,5,-1.0,0.62,3,3,0,1.0,-1.0,-1.0,-1.0,1.0,0.12,False,True
Myeloid,EC_DVR,False,8,2,1,1.0,0.25,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
CD4 T,CD8 T,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,1.0,1.0,1.0,0.12,False,True
CD4 T,PT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
CD4 T,iPT,False,8,1,6,-1.0,0.75,3,2,0,1.0,-1.0,-1.0,-1.0,-1.0,0.12,True,True
CD4 T,TAL,False,8,0,8,-1.0,1.0,3,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
CD4 T,iTAL,False,8,0,8,-1.0,1.0,3,1,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,True,True
CD4 T,DCT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
CD4 T,CNT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
CD4 T,PC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
CD4 T,IC A,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
CD4 T,Podo,False,8,0,8,-1.0,1.0,3,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,True,True
CD4 T,MC,False,8,0,7,-1.0,0.88,3,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
CD4 T,PEC,False,8,1,6,-1.0,0.75,3,2,0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
CD4 T,EC_glom,False,8,0,3,-1.0,0.38,3,1,1,0.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
CD4 T,Fibroblast,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,0.0,0.0,0.0,0.0,False,True
CD4 T,VSMC,False,8,0,6,-1.0,0.75,3,2,0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
CD4 T,EC_Peritub,False,8,1,7,-1.0,0.88,3,3,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,True,True
CD4 T,EC_DVR,False,8,0,8,-1.0,1.0,3,2,1,1.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
CD8 T,PT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
CD8 T,iPT,False,8,0,5,-1.0,0.62,3,2,0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
CD8 T,TAL,False,8,0,8,-1.0,1.0,3,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,True,True
CD8 T,iTAL,False,8,0,8,-1.0,1.0,3,1,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
CD8 T,DCT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
CD8 T,CNT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
CD8 T,PC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
CD8 T,IC A,False,8,0,8,-1.0,1.0,3,0,2,-1.0,-1.0,0.0,-1.0,-1.0,0.0,True,True
CD8 T,Podo,False,8,0,3,-1.0,0.38,3,1,0,1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
CD8 T,MC,False,8,0,6,-1.0,0.75,3,1,1,0.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
CD8 T,PEC,False,8,0,5,-1.0,0.62,3,3,0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
CD8 T,EC_glom,False,8,0,6,-1.0,0.75,3,1,1,0.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
CD8 T,Fibroblast,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,0.0,0.0,1.0,0.0,False,True
CD8 T,VSMC,False,8,1,4,-1.0,0.5,3,2,0,1.0,0.0,-1.0,-1.0,0.0,0.0,False,True
CD8 T,EC_Peritub,False,8,1,4,-1.0,0.5,3,2,0,1.0,1.0,-1.0,-1.0,-1.0,0.0,False,True
CD8 T,EC_DVR,False,8,0,5,-1.0,0.62,3,2,0,1.0,0.0,-1.0,0.0,-1.0,0.12,False,True
PT,iPT,False,8,3,5,-1.0,0.62,3,2,1,1.0,-1.0,-1.0,1.0,1.0,0.12,False,True
PT,TAL,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.0,False,True
PT,iTAL,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
PT,DCT,False,8,1,6,-1.0,0.75,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.12,False,True
PT,CNT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PT,PC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
PT,IC A,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PT,Podo,False,8,0,7,-1.0,0.88,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PT,MC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PT,PEC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PT,EC_glom,False,8,2,6,-1.0,0.75,3,3,0,1.0,-1.0,-1.0,1.0,-1.0,0.0,True,True
PT,Fibroblast,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PT,VSMC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.0,False,True
PT,EC_Peritub,False,8,1,3,-1.0,0.38,3,1,1,0.0,0.0,1.0,-1.0,-1.0,0.0,False,True
PT,EC_DVR,False,8,0,7,-1.0,0.88,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.0,False,True
iPT,TAL,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iPT,iTAL,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,False,True
iPT,DCT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iPT,CNT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iPT,PC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iPT,IC A,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
iPT,Podo,False,8,0,6,-1.0,0.75,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iPT,MC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iPT,PEC,False,8,5,1,1.0,0.62,3,1,2,-1.0,-1.0,1.0,1.0,1.0,0.0,False,True
iPT,EC_glom,False,8,1,6,-1.0,0.75,3,0,0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
iPT,Fibroblast,False,8,0,8,-1.0,1.0,3,1,0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
iPT,VSMC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iPT,EC_Peritub,False,8,1,7,-1.0,0.88,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iPT,EC_DVR,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
TAL,iTAL,False,8,7,0,1.0,0.88,3,3,0,1.0,1.0,1.0,1.0,1.0,0.12,False,True
TAL,DCT,False,8,2,5,-1.0,0.62,3,0,3,-1.0,-1.0,0.0,-1.0,1.0,0.12,False,True
TAL,CNT,False,8,0,7,-1.0,0.88,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
TAL,PC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
TAL,IC A,False,8,0,7,-1.0,0.88,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
TAL,Podo,False,8,0,7,-1.0,0.88,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
TAL,MC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
TAL,PEC,False,8,0,5,-1.0,0.62,3,0,3,-1.0,0.0,0.0,-1.0,-1.0,0.12,False,True
TAL,EC_glom,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
TAL,Fibroblast,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
TAL,VSMC,False,8,0,3,-1.0,0.38,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
TAL,EC_Peritub,False,8,0,7,-1.0,0.88,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.12,False,True
TAL,EC_DVR,False,8,0,6,-1.0,0.75,3,0,1,-1.0,0.0,0.0,-1.0,-1.0,0.12,True,True
iTAL,DCT,False,8,0,7,-1.0,0.88,3,0,3,-1.0,0.0,0.0,-1.0,1.0,0.12,False,True
iTAL,CNT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iTAL,PC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iTAL,IC A,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iTAL,Podo,False,8,0,7,-1.0,0.88,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iTAL,MC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iTAL,PEC,False,8,5,2,1.0,0.62,3,0,3,-1.0,1.0,1.0,1.0,1.0,0.0,False,True
iTAL,EC_glom,False,8,1,7,-1.0,0.88,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
iTAL,Fibroblast,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
iTAL,VSMC,False,8,0,6,-1.0,0.75,3,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,True,True
iTAL,EC_Peritub,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
iTAL,EC_DVR,False,8,0,5,-1.0,0.62,3,1,1,0.0,-1.0,-1.0,-1.0,0.0,0.0,False,True
DCT,CNT,False,8,0,7,-1.0,0.88,3,0,3,-1.0,1.0,1.0,-1.0,1.0,0.12,False,True
DCT,PC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
DCT,IC A,False,8,8,0,1.0,1.0,3,1,1,0.0,1.0,1.0,1.0,1.0,0.0,True,True
DCT,Podo,False,8,0,5,-1.0,0.62,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.12,False,True
DCT,MC,False,8,0,7,-1.0,0.88,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
DCT,PEC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,0.0,0.12,False,True
DCT,EC_glom,False,8,0,6,-1.0,0.75,3,0,3,-1.0,-1.0,0.0,-1.0,0.0,0.25,False,True
DCT,Fibroblast,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
DCT,VSMC,False,8,0,6,-1.0,0.75,3,0,2,-1.0,0.0,0.0,-1.0,0.0,0.0,True,True
DCT,EC_Peritub,False,8,1,7,-1.0,0.88,3,0,3,-1.0,0.0,0.0,-1.0,-1.0,0.0,False,True
DCT,EC_DVR,False,8,0,7,-1.0,0.88,3,0,3,-1.0,-1.0,0.0,0.0,0.0,0.0,False,True
CNT,PC,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,1.0,1.0,1.0,0.0,False,True
CNT,IC A,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,1.0,1.0,1.0,0.0,False,True
CNT,Podo,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.0,False,True
CNT,MC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
CNT,PEC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,0.0,0.25,False,True
CNT,EC_glom,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
CNT,Fibroblast,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
CNT,VSMC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.0,False,True
CNT,EC_Peritub,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,False,True
CNT,EC_DVR,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PC,IC A,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,1.0,1.0,1.0,0.0,False,True
PC,Podo,False,8,0,7,-1.0,0.88,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.0,False,True
PC,MC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PC,PEC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PC,EC_glom,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PC,Fibroblast,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PC,VSMC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.12,False,True
PC,EC_Peritub,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.12,False,True
PC,EC_DVR,False,8,0,7,-1.0,0.88,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
IC A,Podo,False,8,0,6,-1.0,0.75,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.12,False,True
IC A,MC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
IC A,PEC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,1.0,0.0,False,True
IC A,EC_glom,False,8,0,8,-1.0,1.0,3,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
IC A,Fibroblast,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
IC A,VSMC,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.0,False,True
IC A,EC_Peritub,False,8,1,4,-1.0,0.5,3,1,1,0.0,0.0,0.0,-1.0,-1.0,0.12,False,True
IC A,EC_DVR,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,0.0,-1.0,-1.0,0.0,False,True
Podo,MC,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,1.0,1.0,1.0,0.12,False,True
Podo,PEC,False,8,7,0,1.0,0.88,3,3,0,1.0,1.0,0.0,1.0,1.0,0.0,False,True
Podo,EC_glom,False,8,1,4,-1.0,0.5,3,1,1,0.0,-1.0,0.0,-1.0,-1.0,0.0,False,True
Podo,Fibroblast,False,8,0,5,-1.0,0.62,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
Podo,VSMC,False,8,0,1,-1.0,0.12,3,0,3,-1.0,-1.0,0.0,0.0,0.0,0.12,False,True
Podo,EC_Peritub,False,8,2,2,0.0,0.25,3,0,2,-1.0,-1.0,1.0,1.0,0.0,0.0,False,True
Podo,EC_DVR,False,8,2,1,1.0,0.25,3,0,2,-1.0,0.0,1.0,0.0,0.0,0.0,False,True
MC,PEC,False,8,5,2,1.0,0.62,3,2,1,1.0,-1.0,1.0,-1.0,1.0,0.12,False,True
MC,EC_glom,False,8,1,6,-1.0,0.75,3,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
MC,Fibroblast,False,8,0,7,-1.0,0.88,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
MC,VSMC,False,8,4,1,1.0,0.5,3,0,3,-1.0,0.0,0.0,0.0,1.0,0.0,False,True
MC,EC_Peritub,False,8,4,3,1.0,0.5,3,0,2,-1.0,0.0,1.0,1.0,1.0,0.12,False,True
MC,EC_DVR,False,8,8,0,1.0,1.0,3,1,1,0.0,0.0,1.0,1.0,1.0,0.0,True,True
PEC,EC_glom,False,8,2,2,0.0,0.25,3,1,1,0.0,-1.0,0.0,-1.0,-1.0,0.0,False,True
PEC,Fibroblast,False,8,0,3,-1.0,0.38,3,3,0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PEC,VSMC,False,8,0,7,-1.0,0.88,3,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
PEC,EC_Peritub,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
PEC,EC_DVR,False,8,0,2,-1.0,0.25,3,0,2,-1.0,0.0,-1.0,-1.0,-1.0,0.12,False,True
EC_glom,Fibroblast,False,8,0,5,-1.0,0.62,3,2,0,1.0,-1.0,0.0,-1.0,-1.0,0.12,False,True
EC_glom,VSMC,False,8,1,0,1.0,0.12,3,0,1,-1.0,0.0,0.0,0.0,-1.0,0.0,False,True
EC_glom,EC_Peritub,False,8,3,1,1.0,0.38,3,1,1,0.0,-1.0,0.0,1.0,-1.0,0.0,False,True
EC_glom,EC_DVR,False,8,0,1,-1.0,0.12,3,1,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,False,True
Fibroblast,VSMC,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,0.0,1.0,1.0,0.0,False,True
Fibroblast,EC_Peritub,False,8,6,1,1.0,0.75,3,3,0,1.0,1.0,0.0,1.0,1.0,0.0,False,True
Fibroblast,EC_DVR,False,8,3,2,1.0,0.38,3,3,0,1.0,1.0,0.0,1.0,-1.0,0.0,False,True
VSMC,EC_Peritub,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,1.0,1.0,1.0,0.0,False,True
VSMC,EC_DVR,False,8,8,0,1.0,1.0,3,3,0,1.0,1.0,1.0,1.0,1.0,0.0,False,True
EC_Peritub,EC_DVR,False,8,7,0,1.0,0.88,3,3,0,1.0,1.0,1.0,1.0,1.0,0.0,False,True
