"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.63582689833517e-22,0.884047037487218,0.254,0.209,1.74770674067236e-19,"5","RTKN2"
3.96210887541994e-19,0.895701727905852,0.122,0.084,1.49371504603332e-16,"5","MKI67"
4.92502075660907e-16,1.14796772739114,0.113,0.08,1.85673282524162e-13,"5","IL3RA"
5.94987523293001e-16,1.00844513520317,0.135,0.1,2.24310296281461e-13,"5","CLECL1"
1.23529718025728e-13,1.25851333893932,0.1,0.072,4.65707036956994e-11,"5","BAMBI"
2.91939941564993e-13,1.02691092450998,0.107,0.078,1.10061357970002e-10,"5","LYVE1"
2.34013062018129e-12,1.18903582131371,0.108,0.08,8.82229243808347e-10,"5","ERG"
4.29597367638131e-12,0.572228389430466,0.276,0.246,1.61958207599575e-09,"5","KCNMA1"
7.88877667388436e-12,0.972444223727848,0.159,0.13,2.9740688060544e-09,"5","CFHR3"
1.19575383646044e-09,0.736969862499246,0.15,0.123,4.50799196345584e-07,"5","CD83"
9.96533663488253e-09,1.05540756430755,0.106,0.084,3.75693191135071e-06,"5","TM4SF18"
2.5305757445164e-08,0.794094857238665,0.133,0.109,9.54027055682684e-06,"5","SLAMF1"
1.24449508841964e-06,0.819748543074563,0.111,0.091,0.000469174648334204,"5","AQP9"
1.28743920380452e-06,0.932786260192406,0.13,0.111,0.000485364579834303,"5","SLC26A2"
2.28359585718634e-06,0.769141569964479,0.165,0.146,0.00086091563815925,"5","IRF8"
3.81757152489455e-06,0.74417212370664,0.141,0.122,0.00143922446488525,"5","CDK1"
4.61458370411775e-06,0.274355563749024,0.117,0.151,0.00173969805645239,"5","MEF2C"
9.75192054703102e-05,0.566954764359634,0.103,0.087,0.0367647404623069,"5","CLEC14A"
0.00059271322888545,0.267762778869225,0.121,0.105,0.223452887289815,"5","MS4A1"
0.000964208233742333,0.639037397634741,0.139,0.127,0.36350650412086,"5","CCR2"
0.00105831157957576,0.707872827616009,0.114,0.102,0.398983465500063,"5","PTN"
0.00495305466061521,0.269094306202012,0.119,0.141,1,"5","FKBP11"
0.00532878325136882,0.685868567707532,0.106,0.096,1,"5","CLEC4E"
0.00720781255418485,0.407414979518439,0.094,0.112,1,"5","SMYD2"
0,2.73912343109496,0.873,0.259,0,"6","TCIM"
0,3.04338610329885,0.746,0.144,0,"6","PDGFRA"
0,2.92086063178745,0.666,0.12,0,"6","PDPN"
0,2.19997376125411,0.755,0.223,0,"6","CTSK"
0,2.44523037976839,0.711,0.183,0,"6","CRISPLD2"
0,1.89801660382109,0.799,0.279,0,"6","FHL2"
0,1.76302418976342,0.651,0.198,0,"6","LTBP2"
0,1.29939065571061,0.638,0.195,0,"6","FBLN1"
0,1.00014698946957,0.786,0.367,0,"6","VCAN"
0,1.7588909467068,0.598,0.185,0,"6","COL5A2"
0,0.818306775934289,0.757,0.356,0,"6","MYLK"
0,1.56269728823752,0.547,0.179,0,"6","TFPI"
0,1.34143833689637,0.511,0.169,0,"6","PDGFRB"
0,1.48973506204543,0.527,0.198,0,"6","CFB"
0,1.17059705273706,0.541,0.225,0,"6","THY1"
0,2.02548960946596,0.419,0.119,0,"6","EDNRB"
0,1.27660684658582,0.519,0.233,0,"6","GEM"
0,1.28032291438215,0.451,0.172,0,"6","TCF4"
0,2.05469610599773,0.387,0.112,0,"6","PTGDS"
0,1.59058784988043,0.42,0.161,0,"6","ADAMTS1"
0,2.34454959910629,0.285,0.062,0,"6","COCH"
0,1.52420450241996,0.286,0.089,0,"6","APCDD1"
0,1.84872464271509,0.238,0.058,0,"6","ALDH1A3"
6.57107308968858e-321,0.834084560501875,0.56,0.257,2.47729455481259e-318,"6","FBN1"
6.00703680605528e-299,1.57532963409875,0.256,0.079,2.26465287588284e-296,"6","VWA5A"
5.27957221555519e-283,1.5198674665462,0.317,0.118,1.99039872526431e-280,"6","CAV1"
5.85902769586757e-227,1.1919086115414,0.285,0.109,2.20885344134207e-224,"6","PCOLCE"
3.26508182474456e-222,0.423584731654069,0.582,0.3,1.2309358479287e-219,"6","ACTA2"
2.39878470402429e-206,1.48433741979946,0.149,0.04,9.04341833417156e-204,"6","TBX3"
3.2921601487628e-178,0.692294669963412,0.525,0.296,1.24114437608357e-175,"6","PMP22"
2.64594210479284e-153,1.14654463629066,0.329,0.166,9.97520173506902e-151,"6","TNC"
7.86152670284374e-132,0.510005102232607,0.596,0.379,2.96379556697209e-129,"6","PRDM1"
7.64366135447245e-129,0.488889821590358,0.358,0.184,2.88166033063611e-126,"6","THBS2"
2.91527519418305e-115,1.31170485353077,0.202,0.091,1.09905874820701e-112,"6","RGS16"
9.62988203196414e-98,0.881134724980235,0.203,0.095,3.63046552605048e-95,"6","PTN"
4.7955836647814e-96,0.483432242037237,0.43,0.263,1.80793504162259e-93,"6","DST"
9.64821457942755e-95,0.683270557011398,0.219,0.106,3.63737689644419e-92,"6","NTN4"
2.03023106397693e-94,1.11043430918336,0.109,0.039,7.65397111119304e-92,"6","CLIC6"
6.27702675275474e-93,1.04189376846617,0.136,0.055,2.36643908578854e-90,"6","SNAI1"
5.26555911053743e-91,0.354707480420164,0.284,0.152,1.98511578467261e-88,"6","CNN1"
3.02519330774711e-90,0.968662828595316,0.149,0.064,1.14049787702066e-87,"6","GPC1"
8.66344252366168e-66,0.269412181401502,0.513,0.351,3.26611783142045e-63,"6","BASP1"
8.38783751173456e-59,0.646283183077171,0.1,0.042,3.16221474192393e-56,"6","PGR"
8.02426196565972e-53,0.430623337173681,0.132,0.065,3.02514676105372e-50,"6","ANPEP"
3.10900891117176e-51,0.45034307562408,0.236,0.143,1.17209635951175e-48,"6","MYC"
2.06602040646163e-40,0.656027716548311,0.102,0.051,7.78889693236036e-38,"6","DPT"
1.21384185826351e-36,0.397655359206741,0.19,0.119,4.57618380565344e-34,"6","MEST"
1.12647676966069e-35,0.616443377847108,0.158,0.095,4.24681742162081e-33,"6","STC1"
1.29971324876076e-33,0.515297920774295,0.123,0.07,4.89991894782805e-31,"6","BAMBI"
3.31748460982739e-12,0.25756772348605,0.145,0.108,1.25069169790493e-09,"6","ASPN"
0,3.08802141782461,0.838,0.159,0,"7","THBS2"
0,3.32858646837544,0.777,0.131,0,"7","SFRP4"
0,2.31388105818553,0.923,0.286,0,"7","ACTA2"
0,2.05049670479097,0.945,0.352,0,"7","MYLK"
0,2.27265358459908,0.944,0.365,0,"7","VCAN"
0,2.12125184048634,0.744,0.172,0,"7","MYH11"
0,2.44694252874642,0.699,0.13,0,"7","CNN1"
0,2.10540012862024,0.783,0.223,0,"7","GEM"
0,2.10230179301821,0.73,0.184,0,"7","COL5A2"
0,2.03197068182005,0.746,0.2,0,"7","LTBP2"
0,1.60906996020811,0.851,0.307,0,"7","CAVIN1"
0,2.1187989913043,0.788,0.249,0,"7","FBN1"
0,1.96704863661517,0.725,0.198,0,"7","FBLN1"
0,1.65712455538084,0.813,0.287,0,"7","FHL2"
0,1.70311402505091,0.723,0.22,0,"7","THY1"
0,1.5680780381538,0.705,0.234,0,"7","CTSK"
0,1.69394054333679,0.629,0.168,0,"7","PDGFRB"
0,1.64881971312841,0.615,0.202,0,"7","SEMA3C"
0,1.61666246263394,0.76,0.364,0,"7","ACTG2"
0,0.744189821594816,0.669,0.281,0,"7","TCIM"
0,1.22292312624936,0.577,0.199,0,"7","CRISPLD2"
0,1.72808138813064,0.474,0.123,0,"7","INMT"
0,1.80052430011051,0.455,0.119,0,"7","FSTL3"
0,2.13377491923484,0.404,0.071,0,"7","DES"
0,3.34658607981914,0.37,0.046,0,"7","SFRP2"
0,0.97409038908688,0.481,0.169,0,"7","PDGFRA"
0,2.28557174420705,0.376,0.083,0,"7","RGS16"
0,1.19690093213768,0.365,0.108,0,"7","PCOLCE"
0,1.8173157499633,0.343,0.097,0,"7","ASPN"
0,1.82640612199602,0.295,0.075,0,"7","MFAP5"
0,2.56920026601489,0.111,0.012,0,"7","KRT7"
3.06543064485231e-279,1.00395449100712,0.435,0.165,1.15566735310932e-276,"7","ADAMTS1"
2.6415913673217e-261,1.31425991768253,0.229,0.061,9.95879945480282e-259,"7","GPC1"
1.88010938488752e-252,1.26445097274326,0.311,0.103,7.08801238102597e-250,"7","NTN4"
2.5665278092432e-225,0.975908510782635,0.335,0.121,9.67580984084685e-223,"7","CFHR3"
1.06952403662773e-216,1.03483457360135,0.328,0.12,4.03210561808656e-214,"7","PTGDS"
3.45991373512471e-206,1.3059395161316,0.387,0.166,1.30438747814202e-203,"7","TNC"
8.2822024254714e-200,0.732046895009167,0.541,0.26,3.12239031440272e-197,"7","DST"
1.89673042128548e-194,1.46220425107202,0.168,0.044,7.15067368824625e-192,"7","SRPX"
1.46928445016181e-162,1.45536654971777,0.127,0.031,5.53920237711003e-160,"7","C7"
5.64823975747832e-159,1.52918110923123,0.105,0.023,2.12938638856933e-156,"7","ERBB2"
2.9281298730838e-145,1.59594615144639,0.111,0.027,1.10390496215259e-142,"7","GPC3"
4.21292394893748e-128,0.840987474938027,0.33,0.153,1.58827232874943e-125,"7","OGN"
2.12681992996658e-126,0.456321260956012,0.381,0.181,8.01811113597402e-124,"7","TCF4"
2.16362484306613e-121,0.456430071995832,0.541,0.299,8.15686565835931e-119,"7","PMP22"
4.18959694842346e-104,0.262661138033205,0.408,0.21,1.57947804955564e-101,"7","CFB"
1.5745518063268e-95,0.897180095563703,0.155,0.058,5.93606030985205e-93,"7","MEDAG"
2.76532514406025e-89,0.647889471501711,0.183,0.076,1.04252757931071e-86,"7","CAVIN2"
3.8807358378897e-85,0.465139709005415,0.248,0.117,1.46303741088442e-82,"7","MEST"
9.78951514508757e-72,0.454234627897875,0.274,0.143,3.69064720969801e-69,"7","MYC"
1.36408935364712e-67,0.825504991122408,0.115,0.044,5.14261686324965e-65,"7","TBX3"
3.89688131849957e-67,0.562103665876815,0.157,0.069,1.46912425707434e-64,"7","BAMBI"
1.80306116445405e-61,0.633078249840247,0.105,0.04,6.79754058999175e-59,"7","CLIC6"
2.13870345515738e-54,0.379136960940646,0.116,0.049,8.06291202594331e-52,"7","GATA2"
8.73390639519932e-54,0.535990770001905,0.191,0.098,3.29268271099014e-51,"7","PTN"
1.71063429648594e-51,0.552040163266537,0.145,0.069,6.44909129775198e-49,"7","STC2"
1.12016315378452e-46,0.434345969458482,0.108,0.047,4.22301508976765e-44,"7","NPDC1"
1.19698385869256e-30,0.292803367972424,0.125,0.067,4.51262914727096e-28,"7","ALDH1A3"
1.7512757858117e-160,1.36048188211544,0.6,0.53,6.60230971251012e-158,"8","CCL5"
3.81271909853208e-116,1.49914038457724,0.481,0.386,1.43739510014659e-113,"8","GZMK"
1.49656820420688e-64,1.46505482287676,0.387,0.319,5.64206212985992e-62,"8","CD8A"
2.96250513901463e-49,0.292953515966953,0.094,0.231,1.11686443740852e-46,"8","PCNA"
