dataset,aggregate,n_plasma,n_region,myeloid_frac_inside,myeloid_bg,myeloid_log2enrich,x,y
RCC_BIG,97,21,216,0.2083,0.2358,-0.179,10629.48521205357,1533.5846993582588
RCC_BIG,98,19,414,0.1836,0.2358,-0.361,10931.529091282895,1677.0732293379933
RCC_BIG,99,10,220,0.1909,0.2358,-0.305,10667.006640625,1662.7179443359375
RCC_BIG,100,17,204,0.3039,0.2358,0.366,10647.36270680147,2472.5909064797793
RCC_BIG,101,25,313,0.3035,0.2358,0.364,10623.5219921875,3214.59205078125
RCC_BIG,102,11,99,0.2828,0.2358,0.262,10700.981622869318,2980.2225230823865
RCC_BIG,103,56,781,0.1665,0.2358,-0.503,10178.63711983817,1077.66624886649
RCC_BIG,104,60,967,0.2865,0.2358,0.281,9733.739501953125,340.1051155090332
RCC_BIG,105,41,897,0.2375,0.2358,0.01,9322.37490472561,313.0701424203268
RCC_BIG,106,16,413,0.1622,0.2358,-0.54,9487.698364257812,329.37586975097656
RCC_BIG,107,18,483,0.3458,0.2358,0.552,9904.731011284723,307.98045857747394
RCC_BIG,108,71,898,0.2082,0.2358,-0.179,10185.813751650529,352.44421021367464
RCC_BIG,109,11,123,0.2846,0.2358,0.271,10548.193892045454,604.1322631835938
RCC_BIG,110,16,339,0.2979,0.2358,0.337,9619.687133789062,422.50032234191895
RCC_BIG,111,55,796,0.196,0.2358,-0.267,9611.032581676136,1835.096826171875
RCC_BIG,112,44,456,0.1886,0.2358,-0.322,9847.170965021307,1292.93036998402
RCC_BIG,113,20,202,0.1634,0.2358,-0.53,9761.7705078125,1546.2972351074218
RCC_BIG,114,63,348,0.1897,0.2358,-0.314,9969.71146453373,4465.406777033731
RCC_BIG,115,11,138,0.1739,0.2358,-0.439,9830.056019176136,2481.864080255682
RCC_BIG,116,28,212,0.1415,0.2358,-0.737,9369.219203404018,2504.6515764508927
RCC_BIG,117,46,173,0.1676,0.2358,-0.492,9471.829398777174,3600.051274838655
RCC_BIG,118,13,154,0.2208,0.2358,-0.095,9624.22783954327,4405.833533653846
RCC_BIG,119,22,122,0.2459,0.2358,0.06,9393.785378196022,4238.620094992898
RCC_BIG,120,13,99,0.202,0.2358,-0.223,9302.400240384615,3667.9051607572114
RCC_BIG,121,11,416,0.2067,0.2358,-0.19,10069.632368607954,974.1854913884944
RCC_BIG,122,16,413,0.2615,0.2358,0.149,10074.285278320312,1877.0700225830078
RCC_BIG,123,23,409,0.2543,0.2358,0.109,9931.052309782608,1836.4151982846467
RCC_BIG,124,12,170,0.3176,0.2358,0.43,10074.93359375,2868.3170572916665
RCC_BIG,125,26,354,0.1638,0.2358,-0.525,9961.436598557691,1612.7137404221755
RCC_BIG,126,55,759,0.2003,0.2358,-0.236,9462.039026988636,965.2925326260654
RCC_BIG,127,32,239,0.1506,0.2358,-0.647,9394.107482910156,1261.4264068603516
RCC_BIG,128,14,141,0.1773,0.2358,-0.412,9363.70933314732,1350.7660522460938
RCC_BIG,129,13,284,0.2183,0.2358,-0.111,9292.143329326924,895.6159902719351
RCC_BIG,130,29,427,0.1756,0.2358,-0.425,9645.580280172413,1175.0451239224137
RCC_BIG,131,15,118,0.178,0.2358,-0.406,9616.647916666667,1486.4618408203125
RCC_BIG,132,12,190,0.2421,0.2358,0.038,9644.003499348959,1359.6710815429688
RCC_BIG,133,50,484,0.2893,0.2358,0.295,6869.196328125,1252.6305493164064
RCC_BIG,134,1260,3887,0.2133,0.2358,-0.145,7050.868607003348,1814.646600438678
RCC_BIG,135,73,358,0.2514,0.2358,0.092,6741.843362050514,1454.7024678269477
RCC_BIG,136,35,264,0.1667,0.2358,-0.501,7312.8194614955355,4889.844098772322
RCC_BIG,137,25,183,0.1694,0.2358,-0.477,7256.5512109375,4452.843671875
RCC_BIG,138,10,255,0.4627,0.2358,0.972,7042.2935546875,2710.1636962890625
RCC_BIG,139,289,2135,0.2642,0.2358,0.164,7387.278830557959,1157.4063490501323
RCC_BIG,140,238,1282,0.2793,0.2358,0.244,6150.026022518382,2333.42988240218
RCC_BIG,141,22,268,0.2575,0.2358,0.127,5919.013028231534,4385.810102982955
RCC_BIG,142,188,1299,0.2348,0.2358,-0.006,5985.166833755818,4918.89689733627
RCC_BIG,143,25,309,0.2233,0.2358,-0.079,6072.68041015625,4607.02466796875
RCC_BIG,144,27,222,0.1847,0.2358,-0.353,6210.726218894676,4323.410608362268
RCC_BIG,145,34,771,0.2296,0.2358,-0.039,6282.082821116728,5341.037410960478
RCC_BIG,146,20,185,0.3135,0.2358,0.411,6250.8046875,5039.049487304687
RCC_BIG,147,15,263,0.3536,0.2358,0.584,6015.52763671875,3886.2193522135417
RCC_BIG,148,30,425,0.3553,0.2358,0.591,6312.903971354167,3984.3718994140627
RCC_BIG,149,349,3291,0.2431,0.2358,0.044,6236.693412540294,1555.4552050921159
RCC_BIG,150,17,172,0.2384,0.2358,0.015,6430.163430606618,3914.5152803308824
RCC_BIG,151,59,699,0.2203,0.2358,-0.098,6403.822836665784,5119.967103085275
RCC_BIG,152,14,244,0.291,0.2358,0.303,6387.970110212053,4771.213623046875
RCC_BIG,153,56,281,0.2135,0.2358,-0.143,6578.326843261719,5360.803370884487
RCC_BIG,154,237,2016,0.2743,0.2358,0.218,6327.140973183677,1772.8782062771954
RCC_BIG,155,34,229,0.31,0.2358,0.395,6348.408432904412,2026.4169419232537
RCC_BIG,156,10,142,0.2817,0.2358,0.256,6382.8021484375,2502.6876708984373
RCC_BIG,157,78,544,0.2096,0.2358,-0.17,7938.01354667468,561.2004852294922
RCC_BIG,158,18,356,0.2079,0.2358,-0.182,7901.453721788194,1086.34619140625
RCC_BIG,159,26,301,0.2492,0.2358,0.079,7708.711407001202,634.8165752704327
RCC_BIG,160,149,1519,0.2666,0.2358,0.177,8105.979030122693,1270.881436136745
RCC_BIG,161,18,164,0.2073,0.2358,-0.186,7862.584391276042,1553.5020819769966
RCC_BIG,162,87,503,0.2306,0.2358,-0.032,8263.948651894756,1010.7708305271193
RCC_BIG,163,22,345,0.2145,0.2358,-0.137,8072.050315163352,1033.3664717240767
RCC_BIG,164,560,2196,0.2031,0.2358,-0.216,7927.774411446708,2707.548066493443
RCC_BIG,165,18,135,0.2,0.2358,-0.238,8215.118191189236,2876.5323079427085
RCC_BIG,166,16,225,0.2356,0.2358,-0.002,8147.425720214844,3781.8687286376953
RCC_BIG,167,13,165,0.1697,0.2358,-0.475,8044.927020733173,4116.537616436298
RCC_BIG,168,18,282,0.3794,0.2358,0.686,8070.354383680556,4819.969211154514
RCC_BIG,169,25,336,0.3452,0.2358,0.55,8194.488359375,4595.421484375
